INVOICE_NO,ITEM_ID
O516070597,3249505
316078970,179052
316077207,7122588
6E01600487,"14787350,14811865"
216078082,15253094
316079399,"136470,138455,148665,150418,3174161,3345336,3415366,3420402,3420615,3429344,3434946,3806651,705446,7582594,88222"
B516070398,"13892590,2205853"
CX47347114,"15318116,15406980"
W016070299,1986
216074165,"115057,115079,122621,122622,122624,122631,122684,122689,122791,122836,122983,122991,123103,123110,123150,123154,123155,123157,123159,123160,123164,123213,123222,123262,123264,123272,125077,125250,125307,125422,125491,1307777,134859,135250,135251,135391,135494,135505,135507,135515,136122,136146,136171,14058589,14325739,1433798,14365765,14463756,14583728,14704446,14713061,14713069,14910873,151684,15251973,161064,1698791,1744,1754,232057,2399021,2512017,2551017,2552015,2562016,2573017,2946076,2956076,2958070,3181344,3219396,3220365,3221946,3223014,3223713,3224816,3241258,3241849,3243302,3245350,3246553,3248157,3249475,3250328,3298096,3298637,3310087,3313274,3316309,3321500,3328612,3328618,3328620,3332871,3334112,3338996,3344669,3383629,3391296,3391794,3392516,3392575,3394605,3396557,3397628,3397665,3397670,3397671,3397717,3397781,3397783,3397786,3397790,3402323,4221610,4497604,5152587,70234,70271,70274,70448,70509,7583594,8620598,88520,88622,88623,88676,88907,88908,991655"
2316071260,15015860
CX48011909,"3207464,3239507"
316072836,"14424727,15052128,15116972,1668796,3206495,3246004,3315544,3317675,3370767,3403624,3430004"
216077589,"14959954,3335312,3369096"
316072247,"134732,134739,135778"
216075720,3602588
CX48011754,2208227
216077793,14934994
316077732,"14291717,14555789,15041890,15088052"
316079129,3307913
W016072232,3328450
216071371,3296284
316079369,88870
316070255,88479
316072345,"3180385,3244775"
O516070564,3328645
W016074469,3216761
216070660,"148739,88061"
W016072212,133006
CX48010217,3228655
1616071630/88764174,14921004
6891600864,"15336004,15336088"
6811600250,"15344977,15367960"
216075874,70066
216070259,"133405,14758859,14859915"
5416070117,14782210
W016078601,3218378
W016076861,87234
W016072159,744486
316070405,3344569
2316071926,14908620
3416070421,"14782210,15189015,15242176,15288972,15288976"
316072726,15214958
306070055,138747
2316070361,5372590
6811600263,"14782215,14790248,14929876"
D616070344,15006241
CX47345318,"135817,14704441"
CX47347278,"148653,3415366"
D616070460,"14511859,14511861,14512111,14789394,3316928"
3416070149,15051992
216076328,15017114
CX48010702,14790748
316070767,15201975
1616070172,15331041
2316070949,14675146
616070436,"14832009,14832010,15010031"
316071082,"126173,1746,72018"
216072278,131438
316076787,3749956
W016072771,133546
5416070244,15288975
306070715,2899106
316078356,3424816
W016076655,3396381
W016071162,14992967
6881600378,15569978
W016075053,3245258
216070302,7548593
2316072076,3381069
W016077973,6568588
W016077907,70509
316077202,"150148,3307930"
W016075079,"14386755,3196276"
316073171,3312312
CX47348333,14793029
2316071053,132548
CX47345530,3328943
CX47347522,"124165,1699,3206608,87751"
6A01600496,"15280990,15288972"
216073372,10452587
216077873,"12156587,125763,134933,134939,135739,14626738,14675947,14683993,14758848,14765879,14790368,14844084,14844875,14890100,14890101,14972956,15156098,15156099,2208881,3205622,3328605,3342113,4264825,6552593,6643605,9046593"
B516070033/01838488,3328242
W016073680,3332056
O516070454,1708
W016073603,3335231
CX47346008,"137743,3771638"
216073061,7080602
306071034,"15344977,15367960,15405990"
216075975,"14735871,3207707,3245629,3282956,3298637,3313274,3403907,3526588,88622,88623"
316074441,15140999
316071529,3237512
CX47345411,"3217532,3318418"
316075236,14711022
W016073427,"14608756,14729921,14813786,14813787,14813788,14817869,14933071,15083742,15138151,15235976,15571993"
W016073860,15140151
216077424,"143005,143752,143759,143816,150342,151076,2361,88222"
316071538,"10727972,125741,126340,1307777,135384,1449786,14704354,2466066,2899072,481381,6499625,70415,70509,70589,885650,91"
216072227,"1537795,3152104,3245540,3308867,3323278,3338484,3397782,70509"
B516070455/14899581,"2242498,3390130,3390324,3394925"
B516070358,"14532748,3222212"
W016076342,3328645
W016075654,7307592
A716070554/17830870,15372095
316077064,15045924
6E01600556,15352010
216072725,14411752
1616070460,"15471068,15471069,15570047,15570048,15589013"
316071105,"3438540,3780612"
W016071260,49050
316072630,14782177
316075041,3231096
216077234,13073589
B516070090/01838747,15363046
B516070089/01838746,"3312620,851"
B516070289/01839176,14861249
CX47348533,3343503
W016074865,15238208
316073976,15031996
6891600976,14845991
B516070184/01838959,"14671901,2886076,3312620,3319327,693,848,850,851,856,859,861,902,904,905"
216071780,15230249
1616070517,"15436253,15436270"
316077422,14762050
316079134,14988971
306071316,15367967
CX47347891,14965890
216072343,15017956
216073239,"148627,3419251"
1616070871/88761418,"14310766,15104957,15151088,15242187,15363007,9325588"
1616071616/88764170,"14921903,14989885,15077943,15151177,15162957,15242090,15335985"
CX47345732,87823
216070021,"14748032,14752954,15073922,3206495,3322415,3420615,3779596"
316071828,143170
316071752,"5022588,70094"
316073038,3409588
W016074446,14681880
216071895,148665
316076594,8581593
316078931,"15157040,15260143"
316079360,"1865785,3277874"
W016078821,132656
W016073407,"126693,616415"
W016076401,3341285
O516070856,14942025
316072496,15033862
W016072018,14870940
2316072155,3216651
216077067,3298569
1616070840/普00871195,14790349
W016077609,141109
316070472,"14490756,14960939"
316079999,9853589
W016072261,15222012
316072624,2895070
W016077173,3328507
W016071860,5485589
2316070853,3326279
W016076617,14771877
6E01600547,15352010
6841600987,14967066
W016076259,3190743
W016072564,885650
W016072786,15028927
216076046,135506
A716070087/10930403,"15090102,3338576"
216072748,122858
W016072747,14930128
216074474,3383441
216073455,"14863026,14863064,14863065,14863068,14863069,14863071,15005912,15142075,15234976"
6871600701,15286972
216070609,"126597,127510,132546,13335590,14208682,14208703,14215613,14337735,14492732,14550844,14701275,14934489,183067,2797101,3365652,3387711,70064,7062587,8365587,9524589"
CX48012009,"2240819,8118587"
316072258,1344778
1616071474/88761798,15455982
CX47348065,3222044
W016079079,15085972
306071626,14973145
216074092,3222025
316073990,3179669
216074787,12486589
W016072769,3196477
316079886,"14445738,14804338"
W016070602,77029
1616070978,15102173
W016070991,15024913
216071734,15083684
W016075133,"142996,149674,150057,3224749,87141,88224"
W016076549,14792026
6871600680,14790248
6871600814,"15406993,15419008"
6A01600478,14988891
216071841,14753930
1616071396/88761761,"15166167,15410959,15410962,15539045"
216073194,3335674
316078835,3327910
316079146,14883909
W016075925,3328335
216077249,"14712849,14715044,14784033,14792856,14934388"
316075148,"3374279,3380819"
W016077148,14873879
W016073071,15428959
W016070637,2242225
CX47348479,14755899
1616070174,"14481833,14675955,14980086,15157064,15192100"
K516070030,"15189014,15189015,15288975"
216076814,6385587
W016078230,148966
216072939,"126565,3252305,3416613,4169607"
316070481,"134628,14703651,14834954,3216432,3248730"
316077952,70981
216070504,3368921
316070377,15016891
216073338,"15064951,3124165"
216074104,15104001
216076073,5609587
1616071222,"14481833,14671860,14675955,14980086,15157064,15192100,15194056"
CX47346602,14382744
316077581,"14797166,14967196,14968945,14968948"
316079556,14863077
316070010,"143700,3336675,3382990,3423421"
216073210,6622593
W016073678,3185258
W016078093,3430328
6871600835,"14782215,14790248"
306071118,14752325
1616070436/79213975,15538989
W016070730,14192599
316077753,15121116
2316070926,15085959
3416070305,15615031
316074490,3179311
316074530,"14773863,15582966"
W016077831,143643
216076744,3194180
W016070836,3155356
216073419,14771939
W016071282,14840979
2316071640,3371246
306071510,"125731,127343,129417,134837,135344,135384,3224878,3321658,3323670,3390908,3399668,726494,87496"
W016072667,13941591
CX47347473,1748
216077093,15122023
306070372,15180042
6I01600710,"14782215,14790248"
6841601029,15280990
616070390,"15002617,2797106,3205711,3206259,3224714,3297170,3420213"
316077760,"3245963,3417560"
1616070823/普00871195,15116998
316070892,15201976
316073572,15078930
616070930,"195095,195099,195101,2689015,3180431,3224715,3321854"
6821600331,"14766878,15189014,15336088"
216073966,"149674,149780"
216076098,87326
216072517,133280
216073973,"149991,3246708"
216071884,14719171
216072074,"13549593,3220379,70298"
W016074311,"137794,147222,150002"
216078023,"15016997,15071151"
W016072683,3386771
316078353,14766884
316078334,14924050
306070144,"129810,130027,155047"
O516070837,3311059
306071128,14694792
CX47347451,3006093
316076304,15220039
216072524,3336486
1616071262/88761658,"14921004,14967876,15352015,15452141,15455981"
216077931,"12606602,12819589,14199724,14459746,14773970,14894397,14936027,2248060,2972073,3178207,3316417,3317447,3343218,3365342,3371077,3390545,3393110,3393112,3393155,3570587,4252589,4709597,70072"
CX48010707,"14499882,3328959"
1616071210/88761615,"14848877,15140964,15182005,15315988,15444273"
316072789,134228
316076739,3387711
W016077719,129397
W016071649,143112
W016078211,23004
W016071367,2208849
6831600884,"15419008,15542992"
K516070251,"15283965,15288972"
316074975,15381020
W016071032,1215736
316079485,"15006126,15102230"
B516070054/01838637,"125760,127459,134278,179052"
316072772,14838965
316074501,"88568,88570"
316072667,"140729,149731,3369455"
CX47345765,14279760
316078160,3117133
306072091,"126383,129318"
216074623,3401856
W016075002,149674
316076342,3216432
W016075742,2204823
CX48010511,"2207976,2208003,2208029,2208102"
6821600358,15189014
216075838,3246553
216072533,"11100590,14922966"
W016075268,"135382,14984905,2205125,2771081,3328493,3328653,3387057,87944,9279587"
W016070206,14782036
316075135,15376002
216077996,7784590
W016072017,"10329587,107038,126845,131382,135789,144368,1538791,15455995,2289011,23004,264314,273314,3103101,3182293,3297262,3306651,3335089,3371246,3396061,68047"
CX47348276,"112074,70437"
316078429,15071169
K516070066,15058972
CX47347329,"134368,140246,140736,143098,149778,88067"
316078064,14795856
316074202,14752060
316075929,151718
316073977,15220039
306070660,14863078
W016072459,5294587
316072668,"14772868,150073"
W016076112,3306365
316074600,"14895940,14906105"
1616070079/79213689,"13869592,14270748,15071315,3397439,9092590"
2316071907,14208629
2316071628,15343960
216071706,"14914913,15166132"
