216074178,"134,915,891,420,867,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
216072227,"153,779,531,521,043,000,000,000,000,000,000,000,000,000,000,000,000,000"
B516070455/14899581,"2,242,498,339,013,030,000,000,000,000"
B516070358,"145,327,483,222,212"
W016076342,3328645
W016075654,7307592
A716070554/17830870,15372095
316077064,15045924
6E01600556,15352010
216072725,14411752
1616070460,"1,547,106,815,471,060,000,000,000,000,000,000,000,000"
316071105,"34,385,403,780,612"
W016071260,49050
316072630,14782177
316075041,3231096
216077234,13073589
B516070090/01838747,15363046
B516070089/01838746,"3,312,620,851"
B516070289/01839176,14861249
CX47348533,3343503
W016074865,15238208
316073976,15031996
6891600976,14845991
B516070184/01838959,"14,671,901,288,607,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
216071780,15230249
1616070517,"1,543,625,315,436,270"
316077422,14762050
316079134,14988971
306071316,15367967
CX47347891,14965890
216072343,15017956
216073239,"1,486,273,419,251"
1616070871/88761418,"14,310,766,151,049,500,000,000,000,000,000,000,000,000,000,000"
1616071616/88764170,"14,921,903,149,898,800,000,000,000,000,000,000,000,000,000,000,000,000,000"
CX47345732,87823
216070021,"1,474,803,214,752,950,000,000,000,000,000,000,000,000,000,000,000,000"
316071828,143170
316071752,"502,258,870,094"
316073038,3409588
W016074446,14681880
216071895,148665
316076594,8581593
316078931,"1,515,704,015,260,140"
316079360,"18,657,853,277,874"
W016078821,132656
W016073407,"126,693,616,415"
W016076401,3341285
O516070856,14942025
316072496,15033862
W016072018,14870940
2316072155,3216651
216077067,3298569
1616070840/普00871195,14790349
W016077609,141109
316070472,"1,449,075,614,960,930"
316079999,9853589
W016072261,15222012
316072624,2895070
W016077173,3328507
W016071860,5485589
2316070853,3326279
W016076617,14771877
6E01600547,15352010
6841600987,14967066
W016076259,3190743
W016072564,885650
W016072786,15028927
216076046,135506
A716070087/10930403,"150,901,023,338,576"
216072748,122858
W016072747,14930128
216074474,3383441
216073455,"148,630,261,486,306,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
6871600701,15286972
216070609,"12,659,712,751,013,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CX48012009,"22,408,198,118,587"
316072258,1344778
1616071474/88761798,15455982
CX47348065,3222044
W016079079,15085972
306071626,14973145
216074092,3222025
316073990,3179669
216074787,12486589
W016072769,3196477
316079886,"1,444,573,814,804,330"
W016070602,77029
1616070978,15102173
W016070991,15024913
216071734,15083684
W016075133,"14,299,614,967,415,000,000,000,000,000,000,000"
W016076549,14792026
6871600680,14790248
6871600814,"1,540,699,315,419,000"
6A01600478,14988891
216071841,14753930
1616071396/88761761,"15,166,167,154,109,500,000,000,000,000,000"
216073194,3335674
316078835,3327910
316079146,14883909
W016075925,3328335
216077249,"1,471,284,914,715,040,000,000,000,000,000,000,000,000"
316075148,"33,742,793,380,819"
W016077148,14873879
W016073071,15428959
W016070637,2242225
CX47348479,14755899
1616070174,"1,448,183,314,675,950,000,000,000,000,000,000,000,000"
K516070030,"151,890,141,518,901,000,000,000"
216076814,6385587
W016078230,148966
216072939,"126,565,325,230,534,000,000,000,000"
316070481,"134,628,147,036,511,000,000,000,000,000,000,000"
316077952,70981
216070504,3368921
316070377,15016891
216073338,"150,649,513,124,165"
216074104,15104001
216076073,5609587
1616071222,"14,481,833,146,718,600,000,000,000,000,000,000,000,000,000,000,000,000,000"
CX47346602,14382744
316077581,"14,797,166,149,671,900,000,000,000,000,000"
316079556,14863077
316070010,"143,700,333,667,533,000,000,000,000"
216073210,6622593
W016073678,3185258
W016078093,3430328
6871600835,"1,478,221,514,790,240"
306071118,14752325
1616070436/79213975,15538989
W016070730,14192599
316077753,15121116
2316070926,15085959
3416070305,15615031
316074490,3179311
316074530,"1,477,386,315,582,960"
W016077831,143643
216076744,3194180
W016070836,3155356
216073419,14771939
W016071282,14840979
2316071640,3371246
306071510,"1,257,311,273,431,290,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
W016072667,13941591
CX47347473,1748
216077093,15122023
306070372,15180042
6I01600710,"1,478,221,514,790,240"
6841601029,15280990
616070390,"15,002,617,279,710,600,000,000,000,000,000,000,000,000,000,000,000"
316077760,"32,459,633,417,560"
1616070823/普00871195,15116998
316070892,15201976
316073572,15078930
616070930,"1,950,951,950,991,950,000,000,000,000,000,000,000,000,000,000"
6821600331,"147,668,781,518,901,000,000,000"
216073966,"149,674,149,780"
216076098,87326
216072517,133280
216073973,"1,499,913,246,708"
216071884,14719171
216072074,"13,549,593,322,037,900,000"
W016074311,"137,794,147,222,150,000"
216078023,"1,501,699,715,071,150"
W016072683,3386771
316078353,14766884
316078334,14924050
306070144,"129,810,130,027,155,000"
O516070837,3311059
306071128,14694792
CX47347451,3006093
316076304,15220039
216072524,3336486
1616071262/88761658,"1,492,100,414,967,870,000,000,000,000,000,000,000,000"
216077931,"1,260,660,212,819,580,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CX48010707,"144,998,823,328,959"
1616071210/88761615,"1,484,887,715,140,960,000,000,000,000,000,000,000,000"
316072789,134228
316076739,3387711
W016077719,129397
W016071649,143112
W016078211,23004
W016071367,2208849
6831600884,"1,541,900,815,542,990"
K516070251,"1,528,396,515,288,970"
316074975,15381020
W016071032,1215736
